time,z_normalized
0.05,-0.16437019149257925
0.05,-0.13267929231601083
0.05,-0.09982449950282513
0.05,-0.06541173882959972
0.05,-0.029133998982738607
0.05,0.009082036172347596
0.05,0.04903932952394885
0.05,0.09038046491593832
0.05,0.1326609632823632
0.05,0.17535386490585747
0.05,0.21787264070970003
0.05,0.25958035677463975
0.05,0.2998904840239558
0.05,0.33841353049263856
0.05,0.3746362832385568
0.05,0.4080776051284636
0.05,0.43838008000623163
0.05,0.46535583527697444
0.05,0.4889865419070445
0.05,0.5094325789408569
0.05,0.5269734641415367
0.05,0.541929955597916
0.05,0.5546044823651783
0.05,0.565239904139154
0.05,0.5740103467394939
0.05,0.5810257843680833
0.05,0.5866573799562851
0.05,0.5922202416683087
0.05,0.5983742147154645
0.05,0.6049909958622204
0.05,0.6117177512108618
0.05,0.6181054194370239
0.05,0.6236682811490468
0.05,0.6283009444034584
0.05,0.6320904721100837
0.05,0.6350414465273351
0.05,0.6370438934533271
0.05,0.637827459641759
0.05,0.6369751595771489
0.05,0.634019602901486
0.05,0.6278977056632129
0.05,0.6171019048448216
0.05,0.6002941809900426
0.05,0.5763839565968483
0.05,0.5446105767688658
0.05,0.5045982963163222
0.05,0.4563837733065119
0.05,0.40042523358062265
0.05,0.337552065911205
0.05,0.2689373284517005
0.05,0.19601068582661663
0.05,0.12031635912075633
0.05,0.04336191135162881
0.05,-0.03353754931655628
0.05,-0.10940141958365623
0.05,-0.18372106876595196
0.05,-0.2564598387961492
0.05,-0.32806220874019965
0.05,-0.3992063528430625
0.05,-0.4700526501491529
0.05,-0.5396525731672114
0.05,-0.6062144588581928
0.05,-0.6676350506110441
0.05,-0.7219852176343632
0.05,-0.767858206595703
0.05,-0.8045758432501041
0.05,-0.8322435195410409
0.05,-0.8517135355331229
0.05,-0.8644522139181516
0.05,-0.8726315451833594
0.05,-0.8794453634418261
0.05,-0.8863874849358255
0.05,-0.8940536032589023
0.05,-0.9034151571943749
0.05,-0.9150357645269052
0.05,-0.9289704123574346
0.05,-0.9447058877438334
0.05,-0.9612524228691353
0.05,-0.9770566321317127
0.05,-0.9900931573135139
0.05,-0.998080033725422
0.05,-0.9988315241049704
0.05,-0.9924576026540443
0.05,-0.9813318792299975
0.05,-0.9668244490979824
0.05,-0.949847181681964
0.05,-0.9309407834745431
0.05,-0.9104031012724931
0.05,-0.8884174254122887
0.05,-0.8651532994551695
0.05,-0.8408169250296705
0.05,-0.8156740731236798
0.05,-0.7900088437587349
0.05,-0.7641099192147845
0.05,-0.7382201591876572
0.05,-0.7124816136881225
0.05,-0.6869446875587104
0.05,-0.6615543936984782
0.05,-0.63617326435507
0.05,-0.6105813511247157
0.05,-0.5841142265376914
0.05,-0.5560341469896857
0.05,-0.5260799237512203
0.05,-0.4942653035975314
0.05,-0.4607552478314465
0.05,-0.4257651225983238
0.05,-0.3895057117851103
0.05,-0.3521465589530459
0.05,-0.3138205495960741
0.05,-0.2746834805001993
0.05,-0.2348315790920713
0.05,-0.1943931486072228
0.05,-0.15347358098912622
0.05,-0.11217826818125609
0.05,-0.07057136180137746
0.05,-0.028675773141550454
0.05,0.013471839730929691
0.05,0.05582107197353259
0.05,0.09833984777737537
0.05,0.1409502687494555
0.05,0.18355152520471218
0.05,0.225983238098729
0.05,0.26806211709503125
0.05,0.30958654282349585
0.05,0.35032740236352855
0.05,0.39002808924406485
0.05,0.42844116151086187
0.05,0.4653008481760317
0.05,0.5003367959932732
0.05,0.5333244743004035
0.05,0.5639110491997086
0.05,0.5919040658378887
0.05,0.6171064871032335
0.05,0.6393487694345035
0.05,0.658520938629813
0.05,0.674558843071396
0.05,0.6874349892087814
0.05,0.6971585415587924
0.05,0.703752411413489
0.05,0.7072715858738137
0.05,0.7077802165575324
0.052,0.7047650905225147
0.05,0.6968927705709034
0.05,0.6830085275829045
0.05,0.6621592518088462
0.05,0.6338088190145392
0.05,0.5977143695041538
0.05,0.5541508387824019
0.05,0.5034664784885878
0.051,0.4463257160924332
0.05,0.3835304468160179
0.05,0.31789417732423586
0.05,0.25051664963593945
0.05,0.18358818327200743
0.05,0.11901499773178204
0.05,0.05906531092914413
0.05,0.0050450665114805116
0.05,-0.042184270939775725
0.051,-0.08343376116352719
0.05,-0.11720042340067749
0.05,-0.14567915943051735
0.051,-0.17046459518038093
0.05,-0.19261981460182465
0.05,-0.21378526620630256
0.05,-0.23530355170849526
0.05,-0.2582606663520185
0.05,-0.28344017632530394
0.054,-0.3112957252111276
0.052,-0.3458963584792403
0.055,-0.38268272900982003
0.064,-0.3943537411848803
0.062,-0.45173736327686465
0.059,-0.496583926353943
0.05,-0.5338651807930057
0.05,-0.5696480367313839
0.052,-0.6040149748204904
0.05,-0.6345465626188522
0.051,-0.6610961678572905
0.05,-0.6828573130553124
0.05,-0.7000866046839844
0.05,-0.7130589782480192
0.05,-0.7224663547676107
0.05,-0.7292022746330757
0.05,-0.7342519234029683
0.05,-0.7385729930853719
0.05,-0.7431552514972528
0.05,-0.7492267438929952
0.05,-0.7572136203049038
0.05,-0.7671433742834493
0.05,-0.7791763848730489
0.05,-0.7933538923994081
0.052,-0.8098546049405911
0.052,-0.8268181255813741
0.051,-0.8387457442275004
0.06,-0.8627338670136963
0.051,-0.8753304953879569
0.053,-0.8824788185104914
0.052,-0.8821947184889547
0.05,-0.8756100131510818
0.055,-0.8641039622788491
0.051,-0.8504579967282675
0.063,-0.8303143887496394
0.062,-0.8097904533228247
0.068,-0.7816737157075238
0.062,-0.7514491392227575
0.053,-0.7249132807595551
0.051,-0.6966774044255455
0.05,-0.6684736039004182
0.05,-0.6391150742554979
0.05,-0.6086568025917254
0.051,-0.5774103824811099
0.066,-0.5417145894525579
0.069,-0.4948014278317212
0.05,-0.45843662507503447
0.05,-0.42498155640989244
0.051,-0.39081623769090856
0.05,-0.35537705113342166
0.05,-0.31939715808333313
0.051,-0.281662260061494
0.05,-0.2436295152428829
0.05,-0.2048406977863111
0.05,-0.1653737060847813
0.05,-0.125251451430352
0.05,-0.08436854187955067
0.054,-0.04240880160195781
0.05,0.0014159178492707536
0.05,0.042816622600614807
0.051,0.08477636287820789
0.05,0.12557679177759518
0.05,0.1658181851507332
0.05,0.20535391072844167
0.05,0.2442160443196033
0.05,0.2822212955877432
0.05,0.3194842209931583
0.05,0.35612854151297
0.05,0.39241544587665467
0.05,0.4274284824018362
0.05,0.4612180559310459
0.05,0.49343133256656846
0.05,0.5237063138938658
0.05,0.5516993305320457
0.05,0.5772087631109866
0.05,0.6002575229227474
0.05,0.6207493825406791
0.05,0.638349837100713
0.05,0.6528206091654329
0.05,0.6639234212974203
0.05,0.6714704009017884
0.05,0.6753149157093561
0.05,0.6752324350579426
0.05,0.670173621771226
0.05,0.6590249870551199
0.053,0.6410075469796042
0.051,0.6136102239349681
0.05,0.5803705214151846
0.05,0.5398083699532148
0.05,0.4922124518290083
0.05,0.43823344773705175
0.05,0.3790902384149051
0.05,0.31664780303620454
0.05,0.2533484853344816
0.05,0.191987462940985
0.05,0.1353324199364896
0.05,0.08576613069517403
0.05,0.04509400503131955
0.05,0.01406295106606259
0.05,-0.0072033102234769775
0.05,-0.019891583765975218
0.05,-0.02587143099347955
0.05,-0.027571448864287196
0.05,-0.02790137146994265
0.05,-0.029509744172512842
0.05,-0.034206559044691165
0.05,-0.04363226459792968
0.05,-0.058923260918376186
0.05,-0.0806981528916344
0.05,-0.10909899052847194
0.05,-0.14379585122323402
0.05,-0.1839822574954293
0.05,-0.22836601247290755
0.05,-0.2752104402175657
0.05,-0.32250392928658833
0.05,-0.36815238758574553
0.05,-0.4103000004582258
0.05,-0.4475766726388767
0.05,-0.4793271411747998
0.052,-0.5065411738829602
0.05,-0.5284626981253981
0.05,-0.5476119560286483
0.05,-0.5653727896330984
0.05,-0.5826295748122422
0.05,-0.5997076519133222
0.05,-0.6165245402849248
0.052,-0.6328557092648686
0.05,-0.6471981780940557
0.05,-0.6594007322448945
0.05,-0.6689684878089017
0.05,-0.675576104438834
0.05,-0.6790677853486868
0.063,-0.6800896289745366
0.05,-0.6798055289530001
0.05,-0.678962393405214
0.05,-0.677413590061998
0.052,-0.6749941576205247
0.06,-0.670686834713357
0.05,-0.6659350327402364
0.05,-0.6599185274454369
0.05,-0.6525960785032514
0.05,-0.6438531294533826
0.05,-0.6335888706107694
0.05,-0.6218857826268258
0.051,-0.6087347009847276
0.057,-0.5918582432537703
0.062,-0.5745235596816249
0.057,-0.5514977111619236
