t,x,y,z
0.050, -10350.736, -2584.642, 786.761
0.050, -10344.661, -2582.614, 788.878
0.050, -10338.057, -2579.462, 790.960
0.050, -10330.947, -2575.135, 792.988
0.050, -10323.302, -2569.559, 794.969
0.050, -10315.129, -2562.691, 796.917
0.050, -10306.448, -2554.507, 798.856
0.050, -10297.298, -2545.008, 800.820
0.050, -10287.739, -2534.233, 802.850
0.050, -10277.820, -2522.218, 804.996
0.051, -10267.453, -2508.823, 807.341
0.050, -10257.246, -2494.862, 809.804
0.050, -10247.076, -2480.238, 812.448
0.050, -10237.072, -2465.212, 815.261
0.050, -10227.415, -2450.197, 818.280
0.050, -10218.405, -2435.894, 821.607
0.050, -10210.296, -2422.975, 825.202
0.050, -10203.253, -2412.025, 828.921
0.050, -10197.313, -2403.446, 832.598
0.050, -10192.427, -2397.494, 836.081
0.050, -10188.475, -2394.272, 839.275
0.050, -10185.298, -2393.739, 842.145
0.050, -10182.718, -2395.726, 844.721
0.050, -10180.564, -2399.919, 847.095
0.050, -10178.687, -2405.891, 849.383
0.050, -10176.945, -2413.198, 851.679
0.050, -10175.230, -2421.331, 854.020
0.050, -10173.447, -2429.866, 856.431
0.050, -10171.573, -2438.341, 858.939
0.050, -10169.644, -2446.329, 861.544
0.052, -10167.654, -2453.786, 864.341
0.050, -10165.896, -2459.836, 867.036
0.050, -10164.402, -2464.737, 869.731
0.050, -10163.255, -2468.621, 872.458
0.051, -10162.544, -2471.768, 875.286
0.050, -10162.403, -2474.279, 878.043
0.050, -10162.902, -2476.482, 880.759
0.050, -10164.110, -2478.591, 883.394
0.050, -10166.093, -2480.788, 885.934
0.050, -10168.827, -2483.142, 888.313
0.050, -10172.312, -2485.707, 890.536
0.050, -10176.504, -2488.460, 892.588
0.050, -10181.343, -2491.323, 894.464
0.050, -10186.798, -2494.196, 896.174
0.050, -10192.692, -2496.879, 897.686
0.050, -10198.978, -2499.227, 899.004
0.050, -10205.577, -2501.074, 900.115
0.050, -10212.419, -2502.267, 900.999
0.050, -10219.450, -2502.675, 901.639
0.050, -10226.627, -2502.190, 902.012
0.050, -10233.920, -2500.727, 902.100
0.050, -10241.297, -2498.229, 901.891
0.050, -10248.761, -2494.658, 901.381
0.050, -10256.289, -2490.014, 900.575
0.050, -10263.880, -2484.312, 899.471
0.050, -10271.504, -2477.624, 897.971
